country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,99.3,98.7,85.7,96.1,88.9,,,96.8,,100,100,92.8,,100,100,100,100,100,100,,,,,,,
Afghanistan,,,,,,,,,,,,,81.7,82.6,84.9,81.1,80.7,80.4,,,,,,,,
Angola,,,,,,,,,75.7,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,91.4,,91.9,91.6,91.7,93.9,86.8,88.6,91.6,89.4,
Andorra,,,,,,,,,93.6,,97.6,,98.3,98.8,,99.4,98.9,98.7,99.2,99.3,99.5,99.2,,,98.7,98.6
UAE,,,,,,,,,,,,,,,,,,,,,,73.8,73.9,79.5,,
Argentina,95.3,,,98.5,99.1,99.2,99.2,,97.5,96.8,96.1,96,95.8,,95.1,94.1,93,89.2,89.2,89.1,97.4,98.2,98.1,95.9,94.5,
Armenia,,,,,,,,,,,,,,,64,77.4,74,100,90.7,87.6,,,90.8,95.4,92,92
American Samoa,,,,,,,,,93.8,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,96.1,,,,,,,94.8,,,,,,,,,,,,,,
Austria,92.5,93.6,95.1,96.5,95.9,97.1,95.2,95.3,95.9,96.3,96.2,95.8,95.1,95.9,96,95.5,95,94.5,93.8,93.3,92.9,93.1,93.2,92.8,,
Azerbaijan,,,99.1,98.8,98,98,97.7,98.4,96.6,94.7,97,97.7,97.5,97.2,98.3,95.6,96.1,97.8,98,98.7,98.7,85.9,89.4,90.4,90.4,
Burundi,,93.9,,94.6,90.4,,73.4,,,,89.1,87,92.1,95.6,98.1,,,,,,,,,,,
Belgium,,,,,,,,97.2,,,95.9,96.3,96.2,96.4,,94.4,95.2,95,94.4,94.9,94.6,94.6,94.9,95.2,,
Benin,98.4,,81.4,72,,75.9,79.4,86.3,86.7,94.3,96.3,94.3,91.8,,89.4,92.5,93.4,91.7,,,,,,,,
Burkina Faso,,,,,,,,,,64.7,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,80,79.9,81,,99.5,99.5,,,,85.8,,,71,,,,
